Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandhyundi,DFBETAS brandmerc,DFBETAS transmissionManual,DFBETAS transmissionSemi.Auto,DFBETAS mileage,DFBETAS tax,DFBETAS engineSize
,,,,4366,,,,,,,
,,,,4377,,,,,,,
,,,,4382,,,,,,,
,,,,4404,,,,,,,
,,,,4418,,,,,,,
,,,,4424,,,,,,,
,,,,4438,,,,,,,
,,,,4463,,,,,,,
,,,,4467,,,,,,,
,,,,4486,,,,,,,
,,,,4488,,,,,,,
,,,,4493,,,,,,,
,,,,4494,,,,,,,
,,,,4501,,,,,,,
,,,,4573,,,,,,,
,,,,4588,,,,,,,
,,,,4605,,,,,,,
,,,,4608,,,,,,,
,,,,4627,,,,,,,
,,,,4637,,,,,,,
,,,,4656,,,,,,,
,,,,4661,,,,,,,
,,,,4684,,,,,,,
,,,,4714,,,,,,,
,,,,4733,,,,,,,
,,,,4741,,,,,,,
,,,,4750,,,,,,,
,,,,4771,,,,,,,
,,,,4772,,,,,,,
,,,,4799,,,,,,,
,,,,4808,,,,,,,
,,,,4819,,,,,,,
,,,,4820,,,,,,,
,,,,4821,,,,,,,
,,,,4836,,,,,,,
,,,,4867,,,,,,,
,,,,4882,,,,,,,
,,,,4888,,,,,,,
,,,,4895,,,,,,,
,,,,4899,,,,,,,
,,,,4900,,,,,,,
,,,,4924,,,,,,,
,,,,4935,,,,,,,
,,,,4942,,,,,,,
,,,,4947,,,,,,,
,,,,4957,,,,,,,
