Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandford,DFBETAS brandhyundi,DFBETAS brandvauxhall,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS fuelTypePetrol,DFBETAS engineSize
,3888,4739,,,4723,,,,,4782,
,3898,4778,,,4729,,,,,4785,
,3901,4782,,,4732,,,,,4799,
,3907,4785,,,4733,,,,,4819,
,3910,4819,,,4738,,,,,4836,
,3924,4836,,,4739,,,,,4844,
,3926,4844,,,4752,,,,,4863,
,3946,4845,,,4754,,,,,4874,
,3968,4868,,,4775,,,,,4893,
,3976,4873,,,4777,,,,,4900,
,3995,4874,,,4795,,,,,4917,
,4002,4893,,,4813,,,,,4920,
,4017,4894,,,4818,,,,,4921,
,4042,4896,,,4830,,,,,4929,
,4056,4920,,,4844,,,,,4942,
,4061,4921,,,4845,,,,,4944,
,4067,4924,,,4847,,,,,4945,
,4076,4929,,,4872,,,,,,
,4094,4935,,,4873,,,,,,
,4097,4942,,,4890,,,,,,
,4125,4944,,,4892,,,,,,
,4144,4947,,,4894,,,,,,
,4186,,,,4916,,,,,,
,4190,,,,4932,,,,,,
,4211,,,,4944,,,,,,
,4229,,,,,,,,,,
,4250,,,,,,,,,,
,4252,,,,,,,,,,
,4256,,,,,,,,,,
,4260,,,,,,,,,,
,4261,,,,,,,,,,
,4266,,,,,,,,,,
,4295,,,,,,,,,,
,4298,,,,,,,,,,
,4309,,,,,,,,,,
,4317,,,,,,,,,,
,4342,,,,,,,,,,
,4363,,,,,,,,,,
,4366,,,,,,,,,,
,4367,,,,,,,,,,
,4408,,,,,,,,,,
,4420,,,,,,,,,,
,4436,,,,,,,,,,
,4462,,,,,,,,,,
,4467,,,,,,,,,,
,4478,,,,,,,,,,
,4479,,,,,,,,,,
,4492,,,,,,,,,,
,4493,,,,,,,,,,
,4499,,,,,,,,,,
,4516,,,,,,,,,,
,4539,,,,,,,,,,
,4546,,,,,,,,,,
,4567,,,,,,,,,,
,4579,,,,,,,,,,
,4580,,,,,,,,,,
,4586,,,,,,,,,,
,4591,,,,,,,,,,
,4604,,,,,,,,,,
,4614,,,,,,,,,,
,4634,,,,,,,,,,
,4648,,,,,,,,,,
,4658,,,,,,,,,,
,4670,,,,,,,,,,
,4674,,,,,,,,,,
,4679,,,,,,,,,,
,4681,,,,,,,,,,
,4690,,,,,,,,,,
,4702,,,,,,,,,,
,4705,,,,,,,,,,
,4710,,,,,,,,,,
,4721,,,,,,,,,,
,4733,,,,,,,,,,
,4744,,,,,,,,,,
,4746,,,,,,,,,,
,4753,,,,,,,,,,
,4761,,,,,,,,,,
,4782,,,,,,,,,,
,4799,,,,,,,,,,
,4807,,,,,,,,,,
,4816,,,,,,,,,,
,4832,,,,,,,,,,
,4834,,,,,,,,,,
,4842,,,,,,,,,,
,4849,,,,,,,,,,
,4850,,,,,,,,,,
,4862,,,,,,,,,,
,4884,,,,,,,,,,
,4888,,,,,,,,,,
,4895,,,,,,,,,,
,4896,,,,,,,,,,
,4908,,,,,,,,,,
,4924,,,,,,,,,,
,4935,,,,,,,,,,
,4947,,,,,,,,,,
,4948,,,,,,,,,,
